,tile,dither,fiber,ra,dec,redshift,seperation,LOSV
0,NE,D1,154.0,203.849391399459,41.0092206567545,0.22141,0.1841517783756598,-2922.199091951901
1,NE,D2,63.0,203.83749173722998,41.019027761187296,0.23812,0.24600370513473938,1128.4145866437252
2,NE,D3,22.0,203.845332755196,41.0235019062943,0.23836,0.32647646477289016,1186.5921619197823
3,NE,D3,25.0,203.852790575995,41.0239487162925,0.23201,0.3592578941148831,-352.68951725928446
4,NE,D3,106.0,203.837323678464,41.01394350914279,0.22373,0.16958833989156022,-2359.8158642833246
5,NE,D3,147.0,203.83058890326998,41.0088414911176,0.23798,0.1093221730419623,1094.4776677326904
7,NE,D3,206.0,203.833732493514,41.001144840024,0.22731,0.00012463310992452204,-1492.0003664154406
8,NE,D3,210.0,203.843869106785,41.0013897942984,0.22417,0.09948292852307053,-2253.156976277217
9,NW,D1,127.0,203.81827041195305,41.0131479015817,0.23777,0.22707927335513778,1043.5722893661414
10,NW,D1,167.0,203.810004053634,41.0082590214614,0.23336,0.25772667192017573,-25.440656331446796
11,NW,D2,27.0,203.82173692763303,41.02423861348721,0.2393,0.33818109980475375,1414.4543317510202
13,NW,D2,165.0,203.80303623104496,41.0069907337802,0.23931,0.3256786446769338,1416.8783973875184
15,NW,D2,239.0,203.806595167384,40.9984954944712,0.23174,0.2747928494307203,-418.1392894448493
16,SE,D1,46.0,203.83241533095799,40.9949587399459,0.22961,0.08282314168575058,-934.4652700198736
17,SE,D1,123.0,203.84411796320597,40.986395304348605,0.2307,0.2216738901601203,-670.2421156411093
18,SE,D1,129.0,203.859395481138,40.9856962070323,0.23572,0.33418081845668257,546.6388338831362
19,SE,D1,191.0,203.831845400031,40.97716715678271,0.23434,0.3224594970136013,212.11777604579055
22,SE,D3,171.0,203.855551949436,40.9802447227533,0.2398,0.36351767684660924,1535.6576135761436
26,SW,D1,227.0,203.81462209628003,40.9742399340177,0.23219,0.4069432196323402,-309.05633580223673
28,SW,D2,29.0,203.826629761326,40.99723964151279,0.24048,0.09067754793085595,1700.4940768583083
30,SW,D2,53.0,203.81338011748798,40.994139475519795,0.24121,0.231478153636391,1877.4508683229903
31,SW,D2,59.0,203.79107486210705,40.9924506437553,0.2332,0.44593114111685717,-64.22570651549144
34,SW,D2,90.0,203.796244545388,40.9888330302614,0.2354,0.4155323599028428,469.0687335150536
36,SW,D3,37.0,203.810429257337,40.9954171134849,0.24276,0.2548240030011163,2253.181041980872
37,SW,D3,65.0,203.80810113330898,40.99126996068121,0.23617,0.2931753339920653,655.721787525742
38,SW,D3,73.0,203.79167756729302,40.9898412111696,0.2307,0.44690857093431796,-670.2421156411093
